model,score,width_x,depth_x,dataset,params
resdepth,0.6849433716556946,0.75,4.0,chexpert,651413
resdepth,0.685612141653297,0.75,4.0,chexpert,651413
resdepth,0.6869332070616204,0.75,4.0,chexpert,651413
resdepth,0.6830642108033987,0.75,4.0,chexpert,651413
resdepth,0.6823271956779947,0.75,4.0,chexpert,651413
resdepth,0.6884434753558958,0.75,4.0,chexpert,651413
resdepth,0.6797227958621261,0.75,4.0,chexpert,651413
resdepth,0.6811177761748404,0.75,4.0,chexpert,651413
resdepth,0.6805868565571782,0.75,4.0,chexpert,651413
resdepth,0.6818163685703885,0.75,4.0,chexpert,651413
resdepth,0.6878999963281508,0.75,4.0,chexpert,651413
resdepth,0.6867769108510414,0.75,4.0,chexpert,651413
resdepth,0.6858057040619452,0.75,4.0,chexpert,651413
resdepth,0.6782350117375475,0.75,4.0,chexpert,651413
resdepth,0.6623395648845692,0.5,1.0,chexpert,372421
resdepth,0.6722685708725482,0.5,1.0,chexpert,372421
resdepth,0.6700186520721283,0.5,1.0,chexpert,372421
resdepth,0.6669226467198636,0.5,1.0,chexpert,372421
resdepth,0.6625852421225409,0.5,1.0,chexpert,372421
resdepth,0.6690612547620073,0.5,1.0,chexpert,372421
resdepth,0.6604589408520319,0.5,1.0,chexpert,372421
resdepth,0.6639816238456223,0.5,1.0,chexpert,372421
resdepth,0.6594538751396862,0.5,1.0,chexpert,372421
resdepth,0.6642622083956128,0.5,1.0,chexpert,372421
resdepth,0.6708969927894908,0.5,1.0,chexpert,372421
resdepth,0.6662200724755539,0.5,1.0,chexpert,372421
resdepth,0.6610827110037686,0.5,1.0,chexpert,372421
resdepth,0.663809472381901,0.5,1.0,chexpert,372421
resdepth,0.6617831583074576,0.5,1.0,chexpert,372421
resdepth,0.6463114793835028,0.25,3.0,chexpert,168965
resdepth,0.6547291625703495,0.25,3.0,chexpert,168965
resdepth,0.6519631138974685,0.25,3.0,chexpert,168965
resdepth,0.6510475741333182,0.25,3.0,chexpert,168965
resdepth,0.6480935101225705,0.25,3.0,chexpert,168965
resdepth,0.6553200257542958,0.25,3.0,chexpert,168965
resdepth,0.6519321182476153,0.25,3.0,chexpert,168965
resdepth,0.6484417577462211,0.25,3.0,chexpert,168965
resdepth,0.6491936333602719,0.25,3.0,chexpert,168965
resdepth,0.6554223575053896,0.25,3.0,chexpert,168965
resdepth,0.652338162158434,0.25,3.0,chexpert,168965
resdepth,0.6517911569980581,0.25,3.0,chexpert,168965
resdepth,0.6513938548749961,0.25,3.0,chexpert,168965
resdepth,0.6582676038375533,0.25,3.0,chexpert,168965
resdepth,0.658978758327099,0.25,3.0,chexpert,168965
resdepth,0.6946875751338111,1.0,3.0,chexpert,712197
resdepth,0.6961349106513302,1.0,3.0,chexpert,712197
resdepth,0.6909898684264771,1.0,3.0,chexpert,712197
resdepth,0.6961681341727963,1.0,3.0,chexpert,712197
resdepth,0.6923685044686871,1.0,3.0,chexpert,712197
resdepth,0.6995309161047432,1.0,3.0,chexpert,712197
resdepth,0.7006832248498053,1.0,3.0,chexpert,712197
resdepth,0.696204359285651,1.0,3.0,chexpert,712197
resdepth,0.6994867805437741,1.0,3.0,chexpert,712197
