data,model,score,score1,score2,score3,score4
chexpert,resnet,0.7117312545021537,0.6687212812504214,0.6899547036053004,0.6968058393078325,0.6946858513044222
chexpert,resnet,0.7222363673533969,0.6730053114663181,0.6978399955187454,0.7078009512400125,0.7054180446739037
chexpert,resnet,0.7171029603426708,0.6747011092316264,0.6950581380060038,0.7038857669054435,0.6994424457408968
chexpert,resnet,0.7252723404603362,0.681224883383875,0.7007053598630607,0.7106436035415639,0.7074192491522137
chexpert,resnet,0.722324878075573,0.6732734657302318,0.6992759508347515,0.7070183028901103,0.7057130797834954
chexpert,resnet,0.7192190328915529,0.6782959836188114,0.6961692433045785,0.7032629963441019,0.7017195870203244
chexpert,resnet,0.716297519441271,0.6749036795878611,0.693943991457662,0.7006627501584618,0.7016553201210696
chexpert,resnet,0.7124416948954039,0.6678676651690308,0.6908953075439406,0.6990152848588475,0.6929756778074356
chexpert,resnet,0.7213315137044256,0.6737566213965046,0.6956801961694928,0.7050558466011234,0.7007423453772688
chexpert,resnet,0.7182619035517435,0.6706429092308592,0.6925113685432567,0.7031469389116909,0.7011917908387149
chexpert,resnet,0.7175478894508094,0.6748884841928154,0.6980252864120404,0.7072746500518046,0.7044936799724134
chexpert,resnet,0.7149930571053873,0.6724275029866226,0.6978964015104128,0.7006298225183645,0.7020565345373936
chexpert,resnet,0.7219360197948934,0.6789947508160779,0.7002733756486768,0.7040440616935028,0.7033712597567167
chexpert,resnet,0.7166460713221757,0.6722961398728788,0.6919051315182495,0.7004512199020512,0.6970497460038021
chexpert,resnet,0.7179756975717947,0.6724311654061771,0.6938565139894229,0.7041804535023546,0.6984254467433334
chexpert,resnet,0.7181064923458476,0.669821322578268,0.6948969091952758,0.7020021100984952,0.6998184873346935
chexpert,resnet,0.7156667999291809,0.6739559086554217,0.6932443564324239,0.7057964515303556,0.7006969191075211
chexpert,resnet,0.7203890360154915,0.6793376488334202,0.7006334304809477,0.7107113854861525,0.7065547497562924
chexpert,resnet,0.7167197665639724,0.6731352059396282,0.6926769229581525,0.7010434600660062,0.6999014791361805
chexpert,resnet,0.7179488455914604,0.6779388215884576,0.694143888322448,0.7060505490616541,0.7018241080994153
chexpert,resnet,0.7228319405002539,0.6725777268161341,0.698862345253125,0.7067816589727577,0.7062082007065602
chexpert,resnet,0.719428988801039,0.671090760351025,0.6914450181858015,0.6999372387447691,0.6952603621773762
chexpert,resnet,0.7168120656416529,0.6673205832492741,0.6942761454627869,0.7009228734278472,0.6988803856413798
chexpert,resnet,0.7154196904145673,0.6723497958207599,0.6964313207348237,0.7008913904419731,0.696054925544405
chexpert,resnet,0.7142914193085582,0.6730403274297514,0.6954928314872342,0.7007023389117693,0.7001791673744913
chexpert,resnet,0.7115527533307684,0.6690495048578073,0.6912928337498035,0.7003038448507921,0.6969232625962761
chexpert,resnet,0.7161225919309231,0.6734474154574039,0.6925035377409233,0.701327398102811,0.6964898757390395
chexpert,resnet,0.7152563610028644,0.6706928617422541,0.6950119996011969,0.7017998657786838,0.7009680486919466
chexpert,resnet,0.7119350528130369,0.6681591663075876,0.6905644008454379,0.6976131564194927,0.6951306998076763
chexpert,resnet,0.7139879706122707,0.6745459814676558,0.6935537253080116,0.7048000718857719,0.6984915483628653
chexpert,mobilenet,0.7193114338743554,0.7182993681396811,0.7195240839405749,0.7084371202243176,0.7095544850271217
chexpert,mobilenet,0.7189907308883344,0.7210057554683053,0.7213240982629989,0.7121090628190518,0.7126899020240361
chexpert,mobilenet,0.7234832595913829,0.7201656919414102,0.7232081896707828,0.7147796949380927,0.7123457690361477
chexpert,mobilenet,0.7225653367989117,0.7198731206354448,0.7201306264796574,0.7150354705697611,0.7136604840847423
chexpert,mobilenet,0.7198523714064341,0.7182725692685394,0.7229155594617502,0.7131648218841568,0.7120468380419045
chexpert,mobilenet,0.7193181215952791,0.7210737542421348,0.7215842960444124,0.7110623272533207,0.7123020475068735
chexpert,mobilenet,0.7200274130633251,0.7140224986574231,0.7178215339661806,0.7105948456391215,0.7075321613503368
chexpert,mobilenet,0.721427996808744,0.7207651915922083,0.7226144953856368,0.7140706970808541,0.7140876912860401
chexpert,mobilenet,0.7169891693503749,0.715632096278605,0.7161141493161105,0.7069614755564025,0.7092345508778021
chexpert,mobilenet,0.7161738225109449,0.7133165765331982,0.7155164681673633,0.7100051471820256,0.7089838308630974
chexpert,mobilenet,0.7189074992209804,0.7180436574652195,0.7184541896707621,0.7048159724823668,0.7080820112366704
chexpert,mobilenet,0.7193676496283781,0.7190599000927123,0.7230947091828235,0.7140063520177806,0.7131883525031422
chexpert,mobilenet,0.7143217699447895,0.7172064377057966,0.7175377825888445,0.7082822161222335,0.7096401333924242
chexpert,mobilenet,0.720165730874999,0.7178290014429642,0.7239895152413566,0.7162619052313016,0.7140882368497685
chexpert,mobilenet,0.7208819644386977,0.7206171588358696,0.7226048641965025,0.7078134120858517,0.7120734055757947
chexpert,mobilenet,0.7147175823711279,0.7165521577874593,0.7201161421039403,0.7117026567225583,0.7109116217859939
chexpert,mobilenet,0.7170296176360968,0.711189242404429,0.7124483152118589,0.7100689064812468,0.7044104818880441
chexpert,mobilenet,0.7167685488667772,0.7115824400813958,0.7169185005317817,0.7059804353438766,0.7065172659778678
chexpert,mobilenet,0.7182960658657294,0.7171380594966892,0.7186169909841138,0.7118975055161506,0.7138333726035301
chexpert,mobilenet,0.7186783260500536,0.7168099901716017,0.7180665247986544,0.7072379316753226,0.7103885609864411
chexpert,mobilenet,0.7176025995407322,0.7166445868264495,0.7210069639750171,0.7085427355257471,0.7085486212529462
chexpert,mobilenet,0.7203421932188265,0.7180695417649625,0.7189628608423418,0.7099023595339867,0.7061217653594006
chexpert,mobilenet,0.7183281500291054,0.7161259752925503,0.7203826210258822,0.7083455407906932,0.7071816993320891
chexpert,mobilenet,0.7182209183277686,0.7162063280482458,0.7162522770489946,0.7051160324338899,0.7095474562179078
chexpert,mobilenet,0.720308155993807,0.7207110875058609,0.7219879008765107,0.7143946573614095,0.7143409513369068
chexpert,mobilenet,0.7199997119972033,0.7145300490936808,0.7216991786707387,0.7127059428423586,0.7112808593457012
chexpert,mobilenet,0.7138008492479686,0.7122775870687212,0.7116510127127988,0.7056719469827617,0.7055703379742456
chexpert,mobilenet,0.7145041956828276,0.7134460870231415,0.7161743280329329,0.7076228619945574,0.7080436557895962
chexpert,mobilenet,0.7209005558931272,0.7153982102708973,0.721164011633498,0.7126803795718712,0.7102891792236823
chexpert,mobilenet,0.7216410571283071,0.7229804061519188,0.7225664056626978,0.7132413873968919,0.7144202339602448
