data,model,score,score1,score2,score3,score4
mura,resnet,0.8621978393929992,0.8490677798775844,0.8581255464981807,0.8719114038304234,0.8568597861958085
mura,resnet,0.8537427957575963,0.8332844524775774,0.8451249872114039,0.8645636531050711,0.8415510009207788
mura,resnet,0.8575229261829214,0.8465392796122597,0.8532026918651279,0.8698246103420622,0.8588862931064541
mura,resnet,0.8502806790732489,0.8398938522777533,0.8480420508284287,0.8561732385261798,0.8503827441907937
mura,resnet,0.8588181994245241,0.8392783034528553,0.8516074590526782,0.8694873284639222,0.8551730577689244
mura,resnet,0.8676699371486651,0.8490876530661633,0.8653882055217905,0.8771944381063012,0.8587227834360113
mura,resnet,0.8697084286295584,0.8525516002750144,0.8601776368407021,0.8671406923066128,0.8592129818013441
mura,resnet,0.8565032630141144,0.8329999034203011,0.8440513803998401,0.8618806826805004,0.8473419887139724
mura,resnet,0.8618499727570567,0.8442411248151371,0.856139568783125,0.868597023796888,0.8608593202708726
mura,resnet,0.8611393119007332,0.8476747167102497,0.8568664649882923,0.8724264643046369,0.8614982310413782
mura,resnet,0.8703785196135729,0.8462096469213051,0.8598377281947261,0.8786433802042151,0.859662392133943
mura,resnet,0.8611559895518246,0.8424339693814367,0.8502878942086645,0.8671167163690456,0.8458217973993438
mura,resnet,0.8666802030456853,0.8492622673434856,0.8596108291032148,0.8697834179357022,0.8543147208121827
mura,resnet,0.8525678949740816,0.8387494365562316,0.8489231180978138,0.8597412384494026,0.8506909229208924
mura,resnet,0.8598034570878916,0.8393416027794529,0.8480130358629798,0.8611852872771126,0.8467604157693743
mura,resnet,0.8626515055086483,0.8504356004356006,0.8615023972166829,0.8725621225621225,0.8594870380584666
mura,resnet,0.8648340969040678,0.8507705122865473,0.8611516034985423,0.8706650006941552,0.8573823406913785
mura,resnet,0.8713324482319985,0.852536788472366,0.8561026810229175,0.874436095451923,0.8597867415527273
mura,resnet,0.8635783118541739,0.8407844503179189,0.8562911057840064,0.8708177105743027,0.8496356396964916
mura,resnet,0.8651463575976406,0.8487982690664535,0.8587656073426863,0.8716304677379345,0.8622178275130232
mura,resnet,0.8525029135912094,0.8316915478106444,0.8434326266718464,0.8654441145457573,0.8459334591264777
mura,resnet,0.8648714332657867,0.8344138507037626,0.8497829837340489,0.8637555452105811,0.8518025357358016
mura,resnet,0.8713350990359834,0.8486372762612671,0.8593489683455082,0.8725881783359677,0.8664366981360445
mura,resnet,0.8664444444444445,0.8488376068376068,0.8579726495726496,0.8752512820512819,0.8576786324786324
mura,resnet,0.8702575933931938,0.8478168994568229,0.8633362432102871,0.8747020840261612,0.8615868528987918
mura,resnet,0.8585890652557319,0.8420352733686067,0.8448359788359788,0.8641622574955907,0.8526313932980598
mura,resnet,0.8601317265060534,0.8500664882074571,0.8581318723287538,0.8699192072800247,0.8545869919207281
mura,resnet,0.8704440901203411,0.8475585074742441,0.8598425252279934,0.8725841138436304,0.8574596369703178
mura,resnet,0.8632973401869803,0.8386414599648118,0.8550143167626868,0.8709041984337806,0.8563390485390001
mura,resnet,0.8646486516885528,0.8380339116497484,0.85271911818463,0.8640897843264066,0.8522340634929562
mura,mobilenet,0.8876823333089469,0.8649261608887866,0.8747365377312807,0.8738481690896486,0.8800667495810733
mura,mobilenet,0.8869892010438064,0.8603457609238797,0.8660887790794515,0.8711481872189218,0.8734662150907779
mura,mobilenet,0.882384094040111,0.8680122396139813,0.8692998913111202,0.8705806201496722,0.8710998345436796
mura,mobilenet,0.8862665720685003,0.8619005884562415,0.8659662228899742,0.8711865114143816,0.8734332178679243
mura,mobilenet,0.8911864348484067,0.8673407969182617,0.8807202187483878,0.8768886825224853,0.8794888992072091
mura,mobilenet,0.8821849899598394,0.8637536256135654,0.8701507418563141,0.8717020861222669,0.8710920069165551
mura,mobilenet,0.8866920813967657,0.8690723623513847,0.8717078350479571,0.8743084930457639,0.8811252110641113
mura,mobilenet,0.8794345516596026,0.8516059338360764,0.8593328562778664,0.8668189574503221,0.8668464798811031
mura,mobilenet,0.8890961664023879,0.8716537636414514,0.8800318467093955,0.8799818780231056,0.8805881647500899
mura,mobilenet,0.8830916351408156,0.8591775255709682,0.8693533697632059,0.877504553734062,0.8724253888188314
mura,mobilenet,0.8935098502116574,0.8669237761858243,0.8727647074785628,0.8739044013893411,0.8789923206338868
mura,mobilenet,0.8839690168480627,0.8653925843022947,0.8706804039001654,0.8721325177883952,0.8702058105805978
mura,mobilenet,0.8920889334112474,0.8654450844533489,0.8757547931101649,0.8825166263182793,0.8831114172023263
mura,mobilenet,0.8863821643729619,0.8608681534295031,0.8630409550654949,0.8718116122257226,0.8721881390593047
mura,mobilenet,0.8788453608247424,0.8693142088749439,0.8686185567010309,0.8683711340206186,0.8706015239802779
mura,mobilenet,0.8896345538320845,0.8676268861454047,0.8716928704583025,0.87134465899898,0.8728465407477752
mura,mobilenet,0.8863869483255711,0.8720406409403414,0.8661981592370813,0.8712366932801064,0.8733955699711689
mura,mobilenet,0.8853172546004265,0.8629144211064682,0.8671243028470629,0.871121950880074,0.8789084924796203
mura,mobilenet,0.8843604240036507,0.8591821592417259,0.8664799545760137,0.8719663639562063,0.8734537904992807
mura,mobilenet,0.8825571655047802,0.8701756329223463,0.8779742331203401,0.8754543125947566,0.8829171541512921
mura,mobilenet,0.8891591895193565,0.8683039161997838,0.8740258646109778,0.8752580142381736,0.8757494699299324
mura,mobilenet,0.8903088064494091,0.8745917879346861,0.8754150440664069,0.8797465327594453,0.8822094691535151
mura,mobilenet,0.8835132557961483,0.8646300975131027,0.8734313336535048,0.8787594050378289,0.8760727485331273
mura,mobilenet,0.8871388191494112,0.86611623042763,0.8750012879383712,0.8706772495131593,0.8785216528198981
mura,mobilenet,0.8859531772575251,0.8614350239630383,0.8767058580146881,0.8773402751439506,0.8729821052994517
mura,mobilenet,0.8878777874073157,0.8669025903457004,0.8671502070350652,0.8803701869506005,0.8731961812003907
mura,mobilenet,0.8912654876917198,0.8768523825118716,0.8716193166311883,0.8775380710659899,0.8823754161890727
mura,mobilenet,0.8879318061322151,0.8614467786246928,0.8697231345493104,0.8695544401065873,0.8731176798661462
mura,mobilenet,0.8901395059207157,0.8696839941479158,0.8721513774828673,0.8724091638014443,0.8772033197521233
mura,mobilenet,0.8909198944548513,0.8646376753211001,0.8663598337596766,0.8724360652875971,0.8747524187429923
